dominio;empresaNro;razonSocial;linea;interno;anioModelo;chasisMarca;carroceriaMarca;vigenciaHasta;vigenciaHastaInspeccionTecnica;tecnicaNro
AA356KS;2119;AA356KS;126;61;2016;;;04/12/2026;;CENT
AA383LC;2119;AA383LC;126;28;2016;;;16/11/2026;;CENT
AA658LZ;2119;AA658LZ;126;36;2017;;;14/09/2026;;CENT
AA755SS;2119;AA755SS;126;40;2017;;;10/01/2027;;CENT
AB005GI;2119;AB005GI;126;2;2017;;;02/12/2026;;CENT
AB005GJ;2119;AB005GJ;126;72;2017;;;30/11/2026;;CENT
AB069CM;2119;AB069CM;126;49;2017;;;04/01/2027;;CENT
AB181NJ;2119;AB181NJ;126;10;2017;;;28/02/2027;;CENT
AB181RQ;2119;AB181RQ;126;15;2017;;;22/02/2027;;CENT
AD573KY;2119;AD573KY;126;63;2019;;;27/12/2026;;CENT
AD573LJ;2119;AD573LJ;126;48;2019;;;15/02/2027;;CENT
AD609MT;2119;AD609MT;126;18;2019;;;07/10/2026;;CENT
AD644LO;2119;AD644LO;126;25;2019;;;15/02/2027;;CENT
AD732HP;2119;AD732HP;126;35;2019;;;14/09/2026;;CENT
AD922AP;2119;AD922AP;126;29;2019;;;28/02/2027;;CENT
AD984JN;2119;AD984JN;126;75;2019;;;04/10/2026;;CENT
AE094OB;2119;AE094OB;126;21;2020;;;14/09/2026;;CENT
AE291TM;2119;AE291TM;126;14;2020;;;02/01/2027;;CENT
AE301CL;2119;AE301CL;126;22;2020;;;06/12/2026;;CENT
AE301CY;2119;AE301CY;126;55;2020;;;27/12/2026;;CENT
AE483HI;2119;AE483HI;126;77;2020;;;26/12/2026;;CENT
AE493US;2119;AE493US;126;59;2020;;;08/02/2027;;CENT
AE587GG;2119;AE587GG;126;67;2021;;;06/12/2026;;CENT
AE638BB;2119;AE638BB;126;8;2021;;;10/01/2027;;CENT
AE638BD;2119;AE638BD;126;64;2021;;;04/01/2027;;CENT
AE638BV;2119;AE638BV;126;43;2021;;;10/01/2027;;CENT
AE638BZ;2119;AE638BZ;126;5;2021;;;10/09/2026;;CENT
AE669IA;2119;AE669IA;126;44;2021;;;25/01/2027;;CENT
AE669IB;2119;AE669IB;126;6;2021;;;25/01/2027;;CENT
AE725ML;2119;AE725ML;126;58;2021;;;08/02/2027;;CENT
AE773WF;2119;AE773WF;126;37;2021;;;09/11/2026;;CENT
AE773WG;2119;AE773WG;126;56;2021;;;14/09/2026;;CENT
AE773WH;2119;AE773WH;126;13;2021;;;28/09/2026;;CENT
AE773WI;2119;AE773WI;126;12;2021;;;28/09/2026;;CENT
AE773WJ;2119;AE773WJ;126;41;2021;;;28/09/2026;;CENT
AE773WK;2119;AE773WK;126;78;2021;;;10/09/2026;;CENT
AE850DF;2119;AE850DF;126;16;2021;;;29/11/2026;;CENT
AE877ZL;2119;AE877ZL;126;62;2021;;;22/12/2026;;CENT
AF069EO;2119;AF069EO;126;27;2021;;;04/10/2026;;CENT
AF087QW;2119;AF087QW;126;68;2021;;;30/11/2026;;CENT
AF181VR;2119;AF181VR;126;51;2022;;;13/12/2026;;CENT
AF279DO;2119;AF279DO;126;38;2022;;;15/02/2027;;CENT
AF279DP;2119;AF279DP;126;69;2022;;;15/02/2027;;CENT
AF445CC;2119;AF445CC;126;31;2022;;;04/01/2027;;CENT
AF477NV;2119;AF477NV;126;53;2022;;;02/01/2027;;CENT
AF730KJ;2119;AF730KJ;126;4;2023;;;06/12/2026;;CENT
AG490MG;2119;AG490MG;126;46;2024;;;08/02/2027;;CENT
AG526XJ;2119;AG526XJ;126;76;2024;;;08/01/2027;;CENT
AG526XK;2119;AG526XK;126;74;2024;;;23/01/2027;;CENT
AG663YW;2119;AG663YW;126;24;2024;;;06/12/2026;;CENT
AG748CX;2119;AG748CX;126;39;2024;;;08/02/2027;;CENT
AG790QK;2119;AG790QK;126;20;2024;;;28/02/2027;;CENT
AG790QQ;2119;AG790QQ;126;3;2024;;;03/02/2027;;CENT
AG822VS;2119;AG822VS;126;34;2024;;;08/02/2027;;CENT
AG848ZD;2119;AG848ZD;126;30;2025;;;27/12/2026;;CENT
AG848ZE;2119;AG848ZE;126;7;2025;;;04/01/2027;;CENT
AH164UO;2119;AH164UO;126;19;2025;;;01/02/2027;;CENT
AH229II;2119;AH229II;126;33;2025;;;28/02/2027;;CENT
AH229IX;2119;AH229IX;126;52;2025;;;28/09/2026;;CENT
AH229IY;2119;AH229IY;126;47;2025;;;07/10/2026;;CENT
AH635WX;2119;AH635WX;126;23;2026;;;04/01/2027;;CENT
AH816TI;2119;AH816TI;126;57;2026;;;22/02/2027;;CENT
AI076ZD;2119;AI076ZD;126;79;2026;;;20/10/2026;;CENT
AI198AT;2119;AI198AT;126;45;2026;;;02/03/2027;;CENT
AI198AU;2119;AI198AU;126;54;2026;;;08/12/2026;;CENT
AI198AV;2119;AI198AV;126;1;2026;;;16/12/2026;;CENT
LTQ846;2119;LTQ846;126;71;2013;;;05/12/2026;;CENT
LZX430;2119;LZX430;126;17;2013;;;23/10/2026;;CENT
NUN574;2119;NUN574;126;65;2014;;;30/09/2026;;CENT
NUN576;2119;NUN576;126;50;2014;;;01/12/2026;;CENT
OTO735;2119;OTO735;126;11;2015;;;04/11/2026;;CENT
OWR469;2119;OWR469;126;66;2015;;;25/11/2026;;CENT
OYU358;2119;OYU358;126;70;2015;;;06/12/2026;;CENT
OZS232;2119;OZS232;126;26;2015;;;09/09/2026;;CENT
PAC794;2119;PAC794;126;32;2015;;;29/12/2026;;CENT
PCK977;2119;PCK977;126;60;2016;;;06/10/2026;;CENT
PKN939;2119;PKN939;126;9;2016;;;28/09/2026;;CENT
PKT543;2119;PKT543;126;42;2016;;;22/11/2026;;CENT
PNN717;2119;PNN717;126;73;2016;;;29/12/2026;;CENT
